Data;MÊS;Código;Produto;Peças Recebidas com Defeito;Lote;Fábrica Origem;Transportadora;Valor unitario;Valor total;Categoria;;
43832;JAN;29670;Produto D;61;T318;Fábrica Nordeste;Gavião;1,5;91,5;MAKE;;
43832;JAN;48128;Produto F;283;T287;Fábrica Nordeste;Flash;5,38;1522,54;GIFT;;
43832;JAN;70428;Produto O;479;BT313;Fábrica Nordeste;Rapidex;9;4311;GIFT;;
43832;JAN;46609;Produto Q;310;T329;Fábrica Nordeste;Flash;4,77;1478,7;MAKE;;
43832;JAN;48128;Produto F;281;BT317;Fábrica Nordeste;Rapidex;8,54;2399,74;GIFT;;
43832;JAN;44452;Produto V;414;T211;Fábrica Sudeste;Novo Horizonte;6,16;2550,24;CREMES;;
43832;JAN;48128;Produto F;423;T361B;Fábrica Sudeste;Gavião;7,62;3223,26;HIDRO;;
43832;JAN;70428;Produto O;221;BT340;Fábrica Nordeste;Novo Horizonte;15,4;3403,4;CREMES;;
43832;JAN;77891;Produto R;15;T336TA;Fábrica Nordeste;Rapidex;1,71;25,65;HIDRO;;
43832;JAN;46609;Produto Q;300;TE23W;Fábrica Nordeste;Novo Horizonte;21,75;6525;TERCEIROS;;
43832;JAN;41763;Produto I;45;T350;Fábrica Nordeste;Vai e Vêm;9,02;405,9;CREMES;;
43832;JAN;44847;Produto P;281;BT352;Fábrica Sudeste;Vai e Vêm;3,59;1008,79;TERCEIROS;;
43832;JAN;71594;Produto C;190;BT268;Fábrica Sudeste;Gavião;2,66;505,4;GIFT;;
43832;JAN;37166;Produto N;399;T270;Fábrica Nordeste;Novo Horizonte;3,01;1200,99;HIDRO;;
43832;JAN;70118;Produto T;458;t347ta;Fábrica Nordeste;Flash;4,45;2038,1;CREMES;;
43832;JAN;37166;Produto N;424;T309;Fábrica Nordeste;Rapidex;8,1;3434,4;GIFT;;
43832;JAN;34905;Produto H;222;T345;Fábrica Nordeste;Vai e Vêm;2,23;495,06;TERCEIROS;;
43832;JAN;44452;Produto V;213;T327TC;Fábrica Sudeste;Novo Horizonte;9,07;1931,91;GIFT;;
43832;JAN;49060;Produto A;416;t326;Fábrica Sudeste;Vai e Vêm;4,76;1980,16;TERCEIROS;;
43833;JAN;36379;Produto G;108;T354;Fábrica Sudeste;Del Monte;14,56;1572,48;CREMES;;
43833;JAN;77891;Produto R;185;BT346;Fábrica Sudeste;Rapidex;7,47;1381,95;TERCEIROS;;
43833;JAN;46609;Produto Q;128;T275;Fábrica Nordeste;Rapidex;8,55;1094,4;TERCEIROS;;
43833;JAN;71594;Produto C;260;bt268;Fábrica Sudeste;Novo Horizonte;2,66;691,6;MAKE;;
43833;JAN;44847;Produto P;81;BT357A;Fábrica Sudeste;Gavião;5,47;443,07;MAKE;;
43833;JAN;30581;Produto M;360;T310;Fábrica Nordeste;Del Monte;7,21;2595,6;HIDRO;;
43833;JAN;58880;Produto L;241;T280A;Fábrica Nordeste;Gavião;6,43;1549,63;TERCEIROS;;
43833;JAN;65472;Produto U;93;T330A;Fábrica Nordeste;Novo Horizonte;1,88;174,84;GIFT;;
43833;JAN;46609;Produto Q;165;BT353;Fábrica Sudeste;Vai e Vêm;8,66;1428,9;MAKE;;
43833;JAN;71644;Produto J;42;BT353;Fábrica Nordeste;Gavião;8,66;363,72;GIFT;;
43833;JAN;79267;Produto X;341;T328AT;Fábrica Nordeste;Del Monte;4,49;1531,09;MAKE;;
43833;JAN;36379;Produto G;376; S117;Fábrica Nordeste;Flash;15,52;5835,52;CREMES;;
43833;JAN;36379;Produto G;398;BT287;Fábrica Nordeste;Flash;2,68;1066,64;HIDRO;;
43833;JAN;34905;Produto H;53;BT256;Fábrica Nordeste;Flash;5,09;269,77;MAKE;;
43833;JAN;58880;Produto L;52;BT352;Fábrica Sudeste;Vai e Vêm;4,49;233,48;CREMES;;
43833;JAN;30581;Produto M;222;T112;Fábrica Nordeste;Rapidex;3,68;816,96;HIDRO;;
43833;JAN;71644;Produto J;410;T353;Fábrica Sudeste;Del Monte;10,95;4489,5;HIDRO;;
43833;JAN;65472;Produto U;453;BT357;Fábrica Sudeste;Flash;8,66;3922,98;HIDRO;;
43833;JAN;46609;Produto Q;224;T081;Fábrica Sudeste;Flash;23,36;5232,64;GIFT;;
43833;JAN;65472;Produto U;84;BT278;Fábrica Nordeste;Novo Horizonte;14,96;1256,64;TERCEIROS;;
43833;JAN;29670;Produto D;258;BS288;Fábrica Sudeste;Novo Horizonte;2,16;557,28;TERCEIROS;;
43833;JAN;41460;Produto E;379;BT343;Fábrica Sudeste;Flash;3,11;1178,69;CREMES;;
43833;JAN;38309;Produto W;365;T309;Fábrica Nordeste;Rapidex;8,47;3091,55;HIDRO;;
43833;JAN;41763;Produto I;31;BT352;Fábrica Sudeste;Vai e Vêm;3,59;111,29;TERCEIROS;;
43833;JAN;37166;Produto N;337;BT247;Fábrica Sudeste;Gavião;24,66;8310,42;GIFT;;
43833;JAN;41460;Produto E;283;T186;Fábrica Nordeste;Gavião;5,3;1499,9;TERCEIROS;;
43833;JAN;41763;Produto I;35;T355;Fábrica Sudeste;Vai e Vêm;14,56;509,6;CREMES;;
43833;JAN;46609;Produto Q;453;BT355;Fábrica Sudeste;Vai e Vêm;3,47;1571,91;CREMES;;
43833;JAN;37166;Produto N;216;T322TL;Fábrica Nordeste;Vai e Vêm;4,06;876,96;CREMES;;
43833;JAN;59587;Produto S;44;BT330;Fábrica Nordeste;Flash;8,57;377,08;CREMES;;
43833;JAN;49060;Produto A;238;T253;Fábrica Sudeste;Gavião;4,68;1113,84;MAKE;;
43833;JAN;77891;Produto R;356;T329;Fábrica Nordeste;Del Monte;4,77;1698,12;CREMES;;
43833;JAN;29670;Produto D;46;T276TA;Fábrica Nordeste;Novo Horizonte;5,2;239,2;HIDRO;;
43833;JAN;58880;Produto L;275;T353;Fábrica Sudeste;Gavião;9,29;2554,75;HIDRO;;
43833;JAN;38309;Produto W;485;BT357A;Fábrica Nordeste;Rapidex;5,47;2652,95;MAKE;;
43836;JAN;37166;Produto N;273;T294TA;Fábrica Sudeste;Flash;5,06;1381,38;CREMES;;
43836;JAN;73791;Produto B;181;BT357A;Fábrica Sudeste;Novo Horizonte;5,47;990,07;HIDRO;;
43836;JAN;73791;Produto B;328;bt354;Fábrica Nordeste;Novo Horizonte;3,42;1121,76;CREMES;;
43836;JAN;59587;Produto S;199;S081AT;Fábrica Sudeste;Gavião;2,94;585,06;TERCEIROS;;
43836;JAN;37166;Produto N;213;T299;Fábrica Nordeste;Flash;0,94;200,22;CREMES;;
43836;JAN;71594;Produto C;37;T345;Fábrica Sudeste;Rapidex;2,23;82,51;MAKE;;
43836;JAN;65472;Produto U;101;t344;Fábrica Nordeste;Rapidex;13,33;1346,33;CREMES;;
43836;JAN;37166;Produto N;373;T323;Fábrica Sudeste;Flash;2,24;835,52;MAKE;;
43836;JAN;71644;Produto J;338;T277;Fábrica Sudeste;Gavião;5,14;1737,32;HIDRO;;
43836;JAN;38309;Produto W;446;T324;Fábrica Nordeste;Flash;2,23;994,58;CREMES;;
43836;JAN;44452;Produto V;228;S339;Fábrica Nordeste;Flash;3,08;702,24;TERCEIROS;;
43836;JAN;73791;Produto B;287;T309;Fábrica Nordeste;Flash;6,21;1782,27;TERCEIROS;;
43836;JAN;70118;Produto T;278;S179T;Fábrica Nordeste;Flash;6,36;1768,08;GIFT;;
43836;JAN;37166;Produto N;102;T206;Fábrica Sudeste;Del Monte;1,83;186,66;MAKE;;
43836;JAN;30581;Produto M;47;BT316P;Fábrica Sudeste;Del Monte;1,57;73,79;GIFT;;
43836;JAN;59587;Produto S;431;T326;Fábrica Nordeste;Del Monte;4,76;2051,56;CREMES;;
43837;JAN;59587;Produto S;83;t221;Fábrica Sudeste;Gavião;15,53;1288,99;TERCEIROS;;
43837;JAN;41763;Produto I;17;t287a;Fábrica Nordeste;Del Monte;6,83;116,11;HIDRO;;
43837;JAN;79267;Produto X;93;BT287A;Fábrica Nordeste;Vai e Vêm;9,15;850,95;HIDRO;;
43837;JAN;79267;Produto X;285;T303;Fábrica Sudeste;Novo Horizonte;3,6;1026;TERCEIROS;;
43837;JAN;30581;Produto M;1;BT38D;Fábrica Nordeste;Flash;1,65;1,65;GIFT;;
43837;JAN;41460;Produto E;442;T352AT;Fábrica Sudeste;Rapidex;4,33;1913,86;TERCEIROS;;
43837;JAN;41763;Produto I;95;T345;Fábrica Sudeste;Del Monte;2,87;272,65;HIDRO;;
43837;JAN;73791;Produto B;465;T118;Fábrica Nordeste;Novo Horizonte;3,68;1711,2;HIDRO;;
43837;JAN;65472;Produto U;376;T338;Fábrica Nordeste;Novo Horizonte;9,54;3587,04;CREMES;;
43837;JAN;46609;Produto Q;302;T292;Fábrica Nordeste;Flash;4,09;1235,18;CREMES;;
43837;JAN;44452;Produto V;420;T199;Fábrica Sudeste;Flash;13,69;5749,8;CREMES;;
43837;JAN;65472;Produto U;264;T299;Fábrica Sudeste;Vai e Vêm;0,94;248,16;GIFT;;
43837;JAN;34344;Produto Y;130;S081AT;Fábrica Nordeste;Vai e Vêm;2,94;382,2;CREMES;;
43837;JAN;48128;Produto F;171;T299;Fábrica Sudeste;Flash;8,83;1509,93;HIDRO;;
43837;JAN;41763;Produto I;318;T338;Fábrica Sudeste;Rapidex;7,33;2330,94;CREMES;;
43837;JAN;65472;Produto U;324;T259;Fábrica Nordeste;Rapidex;6,8;2203,2;GIFT;;
43837;JAN;79267;Produto X;223;T350TA;Fábrica Nordeste;Flash;4,45;992,35;MAKE;;
43837;JAN;65472;Produto U;364;T351BTO;Fábrica Nordeste;Vai e Vêm;1,31;476,84;MAKE;;
43834;JAN;70118;Produto T;270;BT340;Fábrica Nordeste;Gavião;7,65;2065,5;GIFT;;
43834;JAN;71644;Produto J;460;BT247;Fábrica Sudeste;Vai e Vêm;24,66;11343,6;MAKE;;
43834;JAN;77891;Produto R;303;T337;Fábrica Sudeste;Gavião;13,1;3969,3;HIDRO;;
43834;JAN;70428;Produto O;263;T247TL;Fábrica Nordeste;Vai e Vêm;3,6;946,8;HIDRO;;
43834;JAN;44452;Produto V;116;BT144;Fábrica Sudeste;Vai e Vêm;19,49;2260,84;GIFT;;
43834;JAN;38309;Produto W;434;BT343;Fábrica Nordeste;Flash;3,11;1349,74;CREMES;;
43834;JAN;71594;Produto C;423;BT295A;Fábrica Nordeste;Gavião;2,52;1065,96;TERCEIROS;;
43836;JAN;77891;Produto R;198;T357;Fábrica Nordeste;Flash;10,46;2071,08;HIDRO;;
43836;JAN;71594;Produto C;241;BT352;Fábrica Sudeste;Vai e Vêm;3,59;865,19;TERCEIROS;;
43836;JAN;77891;Produto R;45;T340;Fábrica Nordeste;Rapidex;2,99;134,55;HIDRO;;
43836;JAN;58880;Produto L;245;BT341;Fábrica Nordeste;Vai e Vêm;10,2;2499;HIDRO;;
43836;JAN;41460;Produto E;315;BT316;Fábrica Nordeste;Novo Horizonte;12,98;4088,7;HIDRO;;
43836;JAN;71594;Produto C;290;T334;Fábrica Sudeste;Flash;14,05;4074,5;TERCEIROS;;
43836;JAN;71644;Produto J;227;T304;Fábrica Sudeste;Vai e Vêm;1,87;424,49;MAKE;;
43837;JAN;46609;Produto Q;121;T360;Fábrica Nordeste;Rapidex;7,07;855,47;TERCEIROS;;
43837;JAN;71644;Produto J;117;T308TD;Fábrica Nordeste;Novo Horizonte;9,5;1111,5;TERCEIROS;;
43837;JAN;49060;Produto A;94;T329;Fábrica Sudeste;Del Monte;6,22;584,68;MAKE;;
43837;JAN;46609;Produto Q;35;T344;Fábrica Sudeste;Gavião;13,33;466,55;MAKE;;
43837;JAN;70428;Produto O;260;T280;Fábrica Sudeste;Vai e Vêm;2,67;694,2;GIFT;;
43837;JAN;29670;Produto D;181;BT354;Fábrica Nordeste;Rapidex;1,99;360,19;TERCEIROS;;
43838;JAN;44452;Produto V;105;T345;Fábrica Sudeste;Del Monte;2,23;234,15;MAKE;;
43838;JAN;70118;Produto T;171;T344;Fábrica Sudeste;Novo Horizonte;2,44;417,24;HIDRO;;
43838;JAN;29670;Produto D;380;T904;Fábrica Sudeste;Vai e Vêm;4,77;1812,6;CREMES;;
43838;JAN;49060;Produto A;253;T315TA;Fábrica Nordeste;Gavião;4,96;1254,88;CREMES;;
43838;JAN;29670;Produto D;231;T336TA;Fábrica Sudeste;Flash;1,71;395,01;TERCEIROS;;
43838;JAN;73791;Produto B;420;T343TA;Fábrica Sudeste;Gavião;5,09;2137,8;CREMES;;
43838;JAN;65472;Produto U;116;T340TA;Fábrica Nordeste;Rapidex;3,95;458,2;CREMES;;
43838;JAN;71594;Produto C;208;t292;Fábrica Sudeste;Gavião;4,09;850,72;TERCEIROS;;
43838;JAN;29670;Produto D;194;BT361;Fábrica Sudeste;Gavião;13,33;2586,02;GIFT;;
43838;JAN;79267;Produto X;116;bt361;Fábrica Nordeste;Del Monte;12,43;1441,88;MAKE;;
43838;JAN;39682;Produto K;64;T301TL;Fábrica Sudeste;Rapidex;2,84;181,76;TERCEIROS;;
43838;JAN;73791;Produto B;234;BT340;Fábrica Nordeste;Novo Horizonte;3,74;875,16;MAKE;;
43838;JAN;77891;Produto R;203;T341BT;Fábrica Nordeste;Vai e Vêm;6,18;1254,54;GIFT;;
43838;JAN;38309;Produto W;396;T338;Fábrica Nordeste;Novo Horizonte;7,33;2902,68;CREMES;;
43838;JAN;70428;Produto O;106;T324;Fábrica Sudeste;Del Monte;7,71;817,26;CREMES;;
43838;JAN;44847;Produto P;457;T281;Fábrica Sudeste;Novo Horizonte;0,56;255,92;GIFT;;
43838;JAN;58880;Produto L;266;T331;Fábrica Sudeste;Novo Horizonte;10,47;2785,02;TERCEIROS;;
43838;JAN;46609;Produto Q;357;T131;Fábrica Sudeste;Gavião;11,39;4066,23;TERCEIROS;;
43838;JAN;65472;Produto U;413;t338;Fábrica Nordeste;Gavião;10,32;4262,16;HIDRO;;
43838;JAN;73791;Produto B;132;T305;Fábrica Sudeste;Gavião;1,75;231;TERCEIROS;;
43839;JAN;34344;Produto Y;40;s216;Fábrica Sudeste;Del Monte;4,5;180;MAKE;;
43839;JAN;59587;Produto S;445;t282ts;Fábrica Sudeste;Vai e Vêm;5,85;2603,25;TERCEIROS;;
43839;JAN;34344;Produto Y;159;T287A;Fábrica Sudeste;Vai e Vêm;6,83;1085,97;CREMES;;
43839;JAN;34905;Produto H;363;T345;Fábrica Sudeste;Novo Horizonte;11,85;4301,55;HIDRO;;
43839;JAN;44452;Produto V;293;BT357;Fábrica Sudeste;Novo Horizonte;3,74;1095,82;HIDRO;;
43839;JAN;48128;Produto F;230;BT343;Fábrica Sudeste;Novo Horizonte;3,11;715,3;MAKE;;
43839;JAN;38309;Produto W;425;BT347;Fábrica Nordeste;Vai e Vêm;4,12;1751;MAKE;;
43839;JAN;79267;Produto X;49;BT360A;Fábrica Nordeste;Flash;4,02;196,98;TERCEIROS;;
43839;JAN;71594;Produto C;241;T332;Fábrica Nordeste;Novo Horizonte;12;2892;MAKE;;
43839;JAN;41763;Produto I;250;T352AT;Fábrica Sudeste;Flash;4,46;1115;TERCEIROS;;
43839;JAN;41460;Produto E;193;BT317;Fábrica Nordeste;Novo Horizonte;8,54;1648,22;TERCEIROS;;
43839;JAN;79267;Produto X;140;T158A;Fábrica Nordeste;Novo Horizonte;9,56;1338,4;GIFT;;
43839;JAN;70118;Produto T;457;BT330;Fábrica Nordeste;Vai e Vêm;9,15;4181,55;TERCEIROS;;
43839;JAN;37166;Produto N;73;T354AT;Fábrica Sudeste;Vai e Vêm;5,49;400,77;GIFT;;
43839;JAN;34344;Produto Y;300;T340;Fábrica Sudeste;Flash;2,24;672;TERCEIROS;;
43839;JAN;41460;Produto E;15;BT337;Fábrica Sudeste;Flash;4,44;66,6;MAKE;;
43839;JAN;73791;Produto B;11;T342AT;Fábrica Sudeste;Novo Horizonte;6,18;67,98;CREMES;;
43839;JAN;77891;Produto R;385;T281;Fábrica Sudeste;Vai e Vêm;0,56;215,6;CREMES;;
43839;JAN;77891;Produto R;306;T353;Fábrica Sudeste;Rapidex;3,33;1018,98;CREMES;;
43839;JAN;70118;Produto T;451;U002;Fábrica Nordeste;Del Monte;8,27;3729,77;CREMES;;
43839;JAN;34344;Produto Y;32;T305;Fábrica Nordeste;Vai e Vêm;1,75;56;HIDRO;;
43839;JAN;41763;Produto I;212;T330A;Fábrica Sudeste;Flash;1,88;398,56;CREMES;;
43839;JAN;70428;Produto O;344;T309BTO;Fábrica Sudeste;Rapidex;1,19;409,36;MAKE;;
43839;JAN;48128;Produto F;130;T360;Fábrica Nordeste;Novo Horizonte;2,73;354,9;MAKE;;
43839;JAN;79267;Produto X;94;BT361;Fábrica Sudeste;Novo Horizonte;13,33;1253,02;GIFT;;
43840;JAN;73791;Produto B;200;T288;Fábrica Sudeste;Rapidex;12,13;2426;TERCEIROS;;
43840;JAN;30581;Produto M;413;T292TL;Fábrica Nordeste;Flash;2,84;1172,92;TERCEIROS;;
43840;JAN;36379;Produto G;465;BT361;Fábrica Nordeste;Rapidex;13,33;6198,45;GIFT;;
43840;JAN;70118;Produto T;457;BU002;Fábrica Sudeste;Rapidex;6,06;2769,42;GIFT;;
43840;JAN;48128;Produto F;64;T331;Fábrica Nordeste;Novo Horizonte;14,29;914,56;CREMES;;
43840;JAN;59587;Produto S;153;BT256;Fábrica Sudeste;Novo Horizonte;5,09;778,77;CREMES;;
43840;JAN;34344;Produto Y;245;T334A;Fábrica Sudeste;Rapidex;2,82;690,9;MAKE;;
43840;JAN;44452;Produto V;438;T353AT;Fábrica Nordeste;Del Monte;4,33;1896,54;CREMES;;
43840;JAN;73791;Produto B;389;BT343;Fábrica Nordeste;Novo Horizonte;3,11;1209,79;HIDRO;;
43840;JAN;65472;Produto U;217;T112;Fábrica Sudeste;Novo Horizonte;3,68;798,56;GIFT;;
43840;JAN;44452;Produto V;128;BT357;Fábrica Nordeste;Vai e Vêm;3,74;478,72;CREMES;;
43840;JAN;59587;Produto S;61;T299;Fábrica Sudeste;Vai e Vêm;0,94;57,34;CREMES;;
43840;JAN;71644;Produto J;70;T172;Fábrica Nordeste;Rapidex;9,95;696,5;MAKE;;
43840;JAN;65472;Produto U;338;T350TA;Fábrica Nordeste;Flash;5,53;1869,14;CREMES;;
43840;JAN;37166;Produto N;95;T336;Fábrica Sudeste;Vai e Vêm;2,86;271,7;CREMES;;
43840;JAN;71644;Produto J;394;T316;Fábrica Nordeste;Rapidex;1,81;713,14;HIDRO;;
43840;JAN;38309;Produto W;346;T297;Fábrica Sudeste;Del Monte;11,78;4075,88;HIDRO;;
43840;JAN;49060;Produto A;83;T309A;Fábrica Nordeste;Vai e Vêm;6,21;515,43;CREMES;;
43840;JAN;71644;Produto J;51;T305;Fábrica Nordeste;Gavião;1,75;89,25;TERCEIROS;;
43840;JAN;41460;Produto E;457;T289A;Fábrica Sudeste;Rapidex;5,4;2467,8;CREMES;;
43839;JAN;71644;Produto J;84;BT150;Fábrica Nordeste;Del Monte;1,95;163,8;MAKE;;
43839;JAN;71644;Produto J;126;T081;Fábrica Sudeste;Novo Horizonte;23,36;2943,36;MAKE;;
43839;JAN;71644;Produto J;369;BT343;Fábrica Nordeste;Gavião;3,11;1147,59;CREMES;;
43839;JAN;46609;Produto Q;93;BT357;Fábrica Sudeste;Del Monte;3,74;347,82;CREMES;;
43839;JAN;34905;Produto H;19;BT330;Fábrica Nordeste;Novo Horizonte;8,57;162,83;MAKE;;
43839;JAN;48128;Produto F;440;T309A;Fábrica Sudeste;Del Monte;4,73;2081,2;GIFT;;
43839;JAN;79267;Produto X;281;T255;Fábrica Sudeste;Vai e Vêm;4,51;1267,31;GIFT;;
43839;JAN;41460;Produto E;71;T324BT;Fábrica Nordeste;Rapidex;5,65;401,15;GIFT;;
43839;JAN;73791;Produto B;13;BT310;Fábrica Sudeste;Del Monte;3,49;45,37;TERCEIROS;;
43839;JAN;79267;Produto X;337;T324;Fábrica Nordeste;Gavião;7,71;2598,27;HIDRO;;
